	0
Ribosome	1898.2326664534703
p53inac	296.4997379662907
p53ac	6.245491568232907
MDM2	205.5781738310346
Wip1	2.230056606710663
ATMP	2.2931287644834334e-137
ATRac	7.03923955940739e-266
MDM2product1	6.245490735558542
MDM2product2	6.24548929752436
MDM2product3	6.2454892097454
MDM2product4	6.245480928743337
MDM2product5	6.245480597140523
MDM2product6	6.2454798368567115
MDM2product7	6.245479732510268
MDM2product8	6.245477738653675
MDM2product9	6.245475256498913
MDM2pro	6.245471985059783
Wip1product1	6.245489596366747
Wip1product2	6.245486590300311
Wip1product3	6.24548253210921
Wip1product4	6.245480093650118
Wip1product5	6.2454767427404025
Wip1product6	6.245469725950157
Wip1product7	6.2454671216554365
Wip1product8	6.245465488463361
Wip1product9	6.245462754820628
Wip1pro	6.2454617088416065
BRCA2	0.8218216646396461
MSH6	45.52071832523698
MGMT	120.29594917046174
damageDSB	2.0040604465795047e-07
damageSSB	3.644370898146078e-30
ppAKT_MDM2	0.0
pMDM2	0.0
ARF	0.0
MDM4	0.0272104940655836
p53ac_MDM4	0.0
ATMinac	1.5030637381408005
ATRinac	2.3977416690825493
pRB	19.316391571142027
pRBp	4.239469563893466
pRBpp	0.017643098779974577
E2F	0.00311189559626516
Cd	0.002049140154411159
Cd_Cdk46	0.006149563195308761
Cd_Cdk46_p27	0.06775896377737829
Ce	2.4044879588315322e-05
Ce_Cdk2	0.00011409863519491384
Skp2	11.391499150899808
Ce_Cdk2_p27	0.0022451448376439244
Pe	0.5509634984396394
Pai	7.094755339527879
Pei	104.06021030403602
Pbi	7.270299902973248
Ca	0.04433072258705958
Ca_Cdk2	0.0
Ca_Cdk2_p27	0.0
p27	2.7240813253561034
Cdh1i	0.0
Cdh1a	133.28411016131855
E2Fp	0.0
p27p	0.0
Pa	0.0
Cb	0.18446309052364393
Cb_Cdk1	0.0
Cdc20i	13.64930975795307
Cdc20a	0.0
Pb	0.0
Wee1	2.2276608104033295
Wee1p	0.0
Cb_Cdk1_p27	0.0
Chk1	3.1123471174228037
pRB_E2F	0.2221102018919038
pRBp_E2F	0.009025768829709072
p21	20.47065256768929
Cd_Cdk46_p21	0.2594111980393158
Ce_Cdk2_p21	0.004815844080964315
Ca_Cdk2_p21	0.0
Cb_Cdk1_p21	0.0
L	2.2099285033829305e-17
R	8.029073516115337
L_R	2.23602605160925e-16
Ractive	7.561713093278712e-20
flip	0.5258199204954853
Ractive_flip	1.054282469088223e-19
pC8	26.54229654941578
Ractive_pC8	6.340092814145271e-21
C8	0.0004369376494600563
Bar	0.8402323462478019
C8_Bar	0.0011277265585932466
pC3	80.65495300911883
C8_pC3	0.00556305966695906
C3	0.0001800321049680083
pC6	47.695520918104066
C3_pC6	2.7106867578605367e-08
C6	0.0005041506925491245
C6_C8	1.2686147007422563e-07
XIAP	5.2692836289619525
C3_XIAP	5.938230676886276e-05
PARP	640.4379490980488
C3_PARP	3.6073762089726747e-06
cPARP	1.1793228385736336
Bid	50.49334656688214
C8_Bid	6.317032300308121e-05
tBid	1.3728245349820916e-06
Bcl2c	12.48030390278755
tBid_Bcl2c	4.8249859620766576e-05
Bax	88.26336185946306
tBid_Bax	3.827653970056754e-08
Baxactive	0.00013725209497462013
Baxm	0.001834500886639837
Bcl2	1.7807168485093785
Baxm_Bcl2	0.009204541895756493
Bax2	0.000106409650735877
Bax2_Bcl2	0.000533778100611692
Bax4	3.580196999257145e-07
Bax4_Bcl2	1.7950547293641975e-06
M	2259.9748224081973
Bax4_M	2.5559252531843482e-06
Mactive	0.000252685377457269
CytoCm	15543.500342722053
Mactive_CytoCm	0.022580728779290467
CytoCr	0.22569494842205073
Smacm	1469.136542382056
Mactive_Smacm	0.002134279519447846
Smacr	0.017026126618367245
CytoC	0.015794713488832206
Apaf	0.12444594834369846
CytoC_Apaf	3.104549870955982e-06
Apafactive	0.010572667503562061
pC9	3.9996952816906597
Apop	0.0036264120621457047
Apop_C3	0.004189128661945826
Smac	0.0008900541162007189
Apop_XIAP	0.11781114377421231
Smac_XIAP	0.10079503123368096
C3_Ub	2.131305962821819
BAD	0.09504755479876022
PUMA	0.029094311529951917
NOXA	0.005556216037312696
Bcl2c_BAD	3.34318326147464
Bcl2c_PUMA	1.0233573421044702
Bcl2c_NOXA	0.1943250642854518
BIM	0.06033400696324964
BIM_Bax	8.405001434572237e-08
Bcl2c_BIM	2.1221799520885
ppERK_BIM	0.0005969782383370743
pBIM	0.10581343607195254
ppAKT_BAD	3.364880202761091e-05
pBAD	0.8916704755941638
ppERK_BAD	0.0009405003751739552
E	1.2915541656427566e-22
H	2.9149395896429605e-21
HGF	2.819487754181355e-19
P	6.880623423613722e-27
F	8.78083691648265e-23
I	1.4408594469427027e-26
INS	3.9090374025573035e-23
EGFR	50.24574037053056
pE1	4.971064374467402
E2	3.802656026581827
pE2	0.3762352382334185
E3	1.7431052789165862
E4	7.251076027584048e-18
pE4	7.1750718782091115e-19
Ev3	4.652001e-11
Met	8.569493182547971
Pr	0.22935992467312055
Fr	0.18658115805358733
Ir	0.021810244631609712
Isr	0.029792137135807095
E1E1	2.5245962969614086
E1E2	0.19106438281322305
E1E3	0.08758229249959656
E1E4	3.6433044862811e-19
E2E2	0.014460042581170427
E2E3	0.006628348277372452
E2E4	2.757308150911354e-20
E3E4	1.2639242678339031e-20
